# Binning scheme file
# X_pix  Y_pix  binid
 -7.0000  -2.5000      72
 -7.0000  -2.0000      72
 -7.0000  -1.5000      72
 -7.0000  -1.0000      72
 -7.0000   0.0000      78
 -7.0000   0.5000      98
 -7.0000   1.0000      98
 -7.0000   1.5000      98
 -7.0000   3.0000     210
 -7.0000   3.5000     210
 -6.5000  -3.5000      77
 -6.5000  -3.0000      77
 -6.5000  -2.5000      77
 -6.5000  -2.0000      72
 -6.5000  -1.5000      72
 -6.5000  -1.0000      72
 -6.5000  -0.5000      78
 -6.5000   0.0000      78
 -6.5000   0.5000      98
 -6.5000   1.0000      98
 -6.5000   1.5000      98
 -6.5000   2.0000     210
 -6.5000   2.5000     210
 -6.5000   3.0000     210
 -6.5000   3.5000     210
 -6.5000   4.0000     214
 -6.0000  -4.0000      77
 -6.0000  -3.5000      77
 -6.0000  -3.0000      77
 -6.0000  -2.5000      77
 -6.0000  -2.0000      72
 -6.0000  -1.5000      72
 -6.0000  -1.0000      72
 -6.0000  -0.5000      78
 -6.0000   0.0000      78
 -6.0000   0.5000      98
 -6.0000   1.0000      98
 -6.0000   1.5000      98
 -6.0000   2.0000     210
 -6.0000   2.5000     210
 -6.0000   3.0000     210
 -6.0000   3.5000     214
 -6.0000   4.0000     214
 -6.0000   4.5000     214
 -5.5000  -4.5000      69
 -5.5000  -4.0000      77
 -5.5000  -3.5000      77
 -5.5000  -3.0000      77
 -5.5000  -2.5000      70
 -5.5000  -2.0000      70
 -5.5000  -1.5000      72
 -5.5000  -1.0000      68
 -5.5000  -0.5000      78
 -5.5000   0.0000      78
 -5.5000   0.5000      79
 -5.5000   1.0000     102
 -5.5000   1.5000     102
 -5.5000   2.0000     122
 -5.5000   2.5000     122
 -5.5000   3.0000     214
 -5.5000   3.5000     214
 -5.5000   4.0000     214
 -5.5000   4.5000     214
 -5.0000  -4.5000      69
 -5.0000  -4.0000      69
 -5.0000  -3.5000      77
 -5.0000  -3.0000      70
 -5.0000  -2.5000      70
 -5.0000  -2.0000      70
 -5.0000  -1.5000      68
 -5.0000  -1.0000      68
 -5.0000  -0.5000      71
 -5.0000   0.0000      75
 -5.0000   0.5000      79
 -5.0000   1.0000     102
 -5.0000   1.5000     102
 -5.0000   2.0000     122
 -5.0000   2.5000     122
 -5.0000   3.0000     122
 -5.0000   3.5000     214
 -5.0000   4.0000     214
 -5.0000   4.5000     214
 -4.5000  -5.0000      69
 -4.5000  -4.5000      69
 -4.5000  -4.0000      69
 -4.5000  -3.5000      58
 -4.5000  -3.0000      58
 -4.5000  -2.5000      56
 -4.5000  -2.0000      56
 -4.5000  -1.5000      54
 -4.5000  -1.0000      68
 -4.5000  -0.5000      71
 -4.5000   0.0000      75
 -4.5000   0.5000      79
 -4.5000   1.0000      82
 -4.5000   1.5000     102
 -4.5000   2.0000     122
 -4.5000   2.5000     122
 -4.5000   3.0000     183
 -4.5000   3.5000     183
 -4.5000   4.0000     213
 -4.5000   4.5000     253
 -4.5000   5.0000     253
 -4.0000  -5.5000      69
 -4.0000  -5.0000      69
 -4.0000  -4.5000      69
 -4.0000  -4.0000      58
 -4.0000  -3.5000      58
 -4.0000  -3.0000      58
 -4.0000  -2.5000      56
 -4.0000  -2.0000      56
 -4.0000  -1.5000      54
 -4.0000  -1.0000      55
 -4.0000  -0.5000      57
 -4.0000   0.0000      73
 -4.0000   0.5000      76
 -4.0000   1.0000      82
 -4.0000   1.5000     103
 -4.0000   2.0000     111
 -4.0000   2.5000     130
 -4.0000   3.0000     183
 -4.0000   3.5000     183
 -4.0000   4.0000     213
 -4.0000   4.5000     253
 -4.0000   5.0000     253
 -4.0000   5.5000     253
 -3.5000  -6.0000      61
 -3.5000  -5.5000      61
 -3.5000  -5.0000      61
 -3.5000  -4.5000      61
 -3.5000  -4.0000      61
 -3.5000  -3.5000      58
 -3.5000  -3.0000      41
 -3.5000  -2.5000      41
 -3.5000  -2.0000      44
 -3.5000  -1.5000      43
 -3.5000  -1.0000      45
 -3.5000  -0.5000      47
 -3.5000   0.0000      52
 -3.5000   0.5000      74
 -3.5000   1.0000      80
 -3.5000   1.5000     100
 -3.5000   2.0000     111
 -3.5000   2.5000     130
 -3.5000   3.0000     183
 -3.5000   3.5000     213
 -3.5000   4.0000     213
 -3.5000   4.5000     253
 -3.5000   5.0000     253
 -3.5000   5.5000     253
 -3.5000   6.0000     253
 -3.0000  -6.0000      61
 -3.0000  -5.5000      61
 -3.0000  -5.0000      61
 -3.0000  -4.5000      61
 -3.0000  -4.0000      61
 -3.0000  -3.5000      42
 -3.0000  -3.0000      42
 -3.0000  -2.5000      41
 -3.0000  -2.0000      37
 -3.0000  -1.5000      32
 -3.0000  -1.0000      33
 -3.0000  -0.5000      38
 -3.0000   0.0000      46
 -3.0000   0.5000      53
 -3.0000   1.0000      81
 -3.0000   1.5000      99
 -3.0000   2.0000     110
 -3.0000   2.5000     128
 -3.0000   3.0000     175
 -3.0000   3.5000     200
 -3.0000   4.0000     200
 -3.0000   4.5000     218
 -3.0000   5.0000     218
 -3.0000   5.5000     218
 -3.0000   6.0000     218
 -2.5000  -6.0000      85
 -2.5000  -5.5000      64
 -2.5000  -5.0000      64
 -2.5000  -4.5000      64
 -2.5000  -4.0000      59
 -2.5000  -3.5000      59
 -2.5000  -3.0000      42
 -2.5000  -2.5000      34
 -2.5000  -2.0000      29
 -2.5000  -1.5000      26
 -2.5000  -1.0000      27
 -2.5000  -0.5000      30
 -2.5000   0.0000      35
 -2.5000   0.5000      50
 -2.5000   1.0000      83
 -2.5000   1.5000     101
 -2.5000   2.0000     112
 -2.5000   2.5000     129
 -2.5000   3.0000     175
 -2.5000   3.5000     200
 -2.5000   4.0000     200
 -2.5000   4.5000     218
 -2.5000   5.0000     218
 -2.5000   5.5000     218
 -2.5000   6.0000     218
 -2.0000  -6.5000      85
 -2.0000  -6.0000      85
 -2.0000  -5.5000      85
