# MGE file
# surface_density  width  axis_ratio
# [Lsun/pc^2]   [arcsec]
  35.278    1.757    0.990
  76.059    6.535    0.990
  90.772   15.346    0.990
  53.217   27.696    0.990
  13.270   42.812    0.990
   0.961   61.787    0.990
 216.501    0.478    0.990
 476.724    1.787    0.990
 575.349    4.240    0.990
 338.192    7.683    0.990
  84.198   11.905    0.990
   6.068   17.193    0.990
 739.703    0.061    0.990
1444.292    0.215    0.990
2073.143    0.561    0.990
2028.524    1.189    0.990
1237.479    2.148    0.990
 433.936    3.451    0.990
  79.919    5.144    0.990
   5.052    7.529    0.990
