# v        v_err    sigma    sigma_err
  20.414    2.712  237.759    2.702
   2.154    2.927  263.918    2.819
  16.538    3.213  271.712    2.986
  20.463    3.030  247.557    2.969
   4.619    3.186  271.837    2.955
  -5.795    2.802  249.291    2.713
  16.899    3.231  247.204    3.159
   8.250    3.408  251.984    3.278
  29.508    3.125  244.975    3.062
  -6.374    3.101  262.928    2.925
  23.878    3.486  258.744    3.268
   7.807    3.303  240.274    3.243
  16.046    3.362  245.402    3.249
 -19.480    2.890  242.011    2.855
   8.412    3.389  254.511    3.248
  33.887    3.259  251.449    3.144
  -4.734    3.499  239.938    3.413
 -18.059    3.258  259.079    3.037
  17.057    3.663  267.792    3.405
  28.383    3.649  257.670    3.406
 -10.352    3.905  260.053    3.715
  12.757    3.369  250.803    3.288
 -31.062    2.978  235.816    2.917
 -13.792    2.769  239.806    2.697
 -34.069    2.895  250.233    2.825
  -3.994    2.955  273.706    2.774
  -9.325    3.217  231.068    3.147
 -15.851    2.998  228.649    2.943
  -1.959    3.568  246.869    3.455
 -14.447    3.819  255.987    3.645
 -38.723    3.049  236.589    2.980
 -39.288    2.919  243.686    2.837
 -22.190    3.388  232.591    3.310
 -24.809    3.340  230.217    3.283
  -2.792    3.181  224.300    3.164
 -50.790    2.833  231.992    2.801
 -23.256    3.694  233.820    3.628
 -45.042    3.432  239.082    3.354
  20.388    3.050  220.948    3.064
  12.951    3.289  223.032    3.252
  21.149    3.496  253.071    3.346
  -3.811    3.373  223.103    3.334
  -1.167    3.431  229.146    3.423
  30.530    3.671  248.262    3.517
  36.333    3.043  228.240    3.024
 -29.769    3.790  258.092    3.484
  22.002    3.616  247.905    3.511
 -28.532    3.871  237.437    3.774
   4.768    3.719  246.558    3.567
  -4.378    3.727  250.199    3.564
 -35.358    3.613  254.990    3.325
  24.368    3.351  231.789    3.313
 -23.370    3.843  244.881    3.703
   7.840    3.259  220.407    3.232
 -51.638    3.269  231.604    3.183
 -38.064    3.307  228.997    3.223
 -50.751    3.142  252.445    3.027
 -47.317    3.150  265.082    3.023
 -56.401    3.086  232.266    3.058
