# Binning scheme file
# X_pix  Y_pix  binid
-29.6703 -30.0000     779
-29.6703 -29.8352     779
-29.6703 -29.6703     746
-29.6703 -29.5055     746
-29.6703 -29.3407     746
-29.6703 -29.1758     746
-29.6703 -29.0110     746
-29.6703 -28.8462     746
-29.6703 -28.6813     746
-29.6703 -28.5165     746
-29.6703 -28.3516     746
-29.6703 -28.1868     746
-29.6703 -28.0220     746
-29.6703 -27.8571     746
-29.6703 -27.6923     746
-29.6703 -27.5275     746
-29.6703 -27.3626     746
-29.6703 -27.1978     746
-29.6703 -27.0330     746
-29.6703 -26.8681     746
-29.6703 -26.7033     746
-29.6703 -26.5385     746
-29.6703 -26.3736     746
-29.6703 -26.2088     746
-29.6703 -26.0440     746
-29.6703 -25.8791     746
-29.6703 -25.7143     746
-29.6703 -25.5495     746
-29.6703 -25.3846     746
-29.6703 -25.2198     746
-29.6703 -25.0549     746
-29.6703 -24.8901     746
-29.6703 -24.7253     746
-29.6703 -24.5604     746
-29.6703 -24.3956     746
-29.6703 -24.2308     746
-29.6703 -24.0659     746
-29.6703 -23.9011     746
-29.6703 -23.7363     746
-29.6703 -23.5714     746
-29.6703 -23.4066     746
-29.6703 -23.2418     746
-29.6703 -23.0769     746
-29.6703 -22.9121     746
-29.6703 -22.7473     746
-29.6703 -22.5824     746
-29.6703 -22.4176     746
-29.6703 -22.2527     746
-29.6703 -22.0879     746
-29.6703 -21.9231     746
-29.6703 -21.7582     746
-29.6703 -21.5934     746
-29.6703 -21.4286     746
-29.6703 -21.2637     746
-29.6703 -21.0989     746
-29.6703 -20.9341     746
-29.6703 -20.7692     746
-29.6703 -20.6044     746
-29.6703 -20.4396     746
-29.6703 -20.2747     746
-29.6703 -20.1099     746
-29.6703 -19.9451     746
-29.6703 -19.7802     746
-29.6703 -19.6154     746
-29.6703 -19.4505     746
-29.6703 -19.2857     746
-29.6703 -19.1209    1390
-29.6703 -18.9560    1390
-29.6703 -18.7912    1390
-29.6703 -18.6264    1390
-29.6703 -18.4615    1390
-29.6703 -18.2967    1390
-29.6703 -18.1319    1390
-29.6703 -17.9670    1390
-29.6703 -17.8022    1390
-29.6703 -17.6374    1390
-29.6703 -17.4725    1390
-29.6703 -17.3077    1390
-29.6703 -17.1429    1390
-29.6703 -16.9780    1390
-29.6703 -16.8132    1390
-29.6703 -16.6484    1390
-29.6703 -16.4835    1390
-29.6703 -16.3187    1390
-29.6703 -16.1538    1390
-29.6703 -15.9890    1390
-29.6703 -15.8242    1390
-29.6703 -15.6593    1390
-29.6703 -15.4945    1390
-29.6703 -15.3297    1390
-29.6703 -15.1648    1390
-29.6703 -15.0000    1390
-29.6703 -14.8352    1390
-29.6703 -14.6703    1390
-29.6703 -14.5055    1390
-29.6703 -14.3407    1390
-29.6703 -14.1758    1390
-29.6703 -14.0110    1390
-29.6703 -13.8462    1390
-29.6703 -13.6813    1390
-29.6703 -13.5165    1390
-29.6703 -13.3516    1390
-29.6703 -13.1868    1390
-29.6703 -13.0220    1390
-29.6703 -12.8571    1390
-29.6703 -12.6923    1390
-29.6703 -12.5275    1390
-29.6703 -12.3626    1390
-29.6703 -12.1978    1390
-29.6703 -12.0330    1390
-29.6703 -11.8681    1390
-29.6703 -11.7033    1390
-29.6703 -11.5385    1390
-29.6703 -11.3736    1390
-29.6703 -11.2088    1441
-29.6703 -11.0440    1441
-29.6703 -10.8791    1441
-29.6703 -10.7143    1441
-29.6703 -10.5495    1441
-29.6703 -10.3846    1441
-29.6703 -10.2198    1441
-29.6703 -10.0549    1441
-29.6703  -9.8901    1441
-29.6703  -9.7253    1441
-29.6703  -9.5604    1441
-29.6703  -9.3956    1441
-29.6703  -9.2308    1441
-29.6703  -9.0659    1441
-29.6703  -8.9011    1441
-29.6703  -8.7363    1441
-29.6703  -8.5714    1441
-29.6703  -8.4066    1441
-29.6703  -8.2418    1441
-29.6703  -8.0769    1441
-29.6703  -7.9121    1441
-29.6703  -7.7473    1441
-29.6703  -7.5824    1441
-29.6703  -7.4176    1441
-29.6703  -7.2527    1441
-29.6703  -7.0879    1441
-29.6703  -6.9231    1441
-29.6703  -6.7582    1441
-29.6703  -6.5934    1441
-29.6703  -6.4286    1441
-29.6703  -6.2637    1441
-29.6703  -6.0989    1441
-29.6703  -5.9341    1441
-29.6703  -5.7692    1441
-29.6703  -5.6044    1441
-29.6703  -5.4396    1441
-29.6703  -5.2747    1441
-29.6703  -5.1099    1441
-29.6703  -4.9451    1441
-29.6703  -4.7802    1441
-29.6703  -4.6154    1441
-29.6703  -4.4505    1441
-29.6703  -4.2857    1441
-29.6703  -4.1209    1441
-29.6703  -3.9560    1441
-29.6703  -3.7912    1441
-29.6703  -3.6264    1441
-29.6703  -3.4615    1441
-29.6703  -3.2967    1441
-29.6703  -3.1319    1441
-29.6703  -2.9670    1441
-29.6703  -2.8022    1441
-29.6703  -2.6374    1441
-29.6703  -2.4725    1441
-29.6703  -2.3077    1441
-29.6703  -2.1429    1441
-29.6703  -1.9780    1441
-29.6703  -1.8132    1441
-29.6703  -1.6484    1441
-29.6703  -1.4835    1441
-29.6703  -1.3187    1441
-29.6703  -1.1538    1441
-29.6703  -0.9890    1622
-29.6703  -0.8242    1622
-29.6703  -0.6593    1622
-29.6703  -0.4945    1622
-29.6703  -0.3297    1622
-29.6703  -0.1648    1622
-29.6703   0.0000    1622
-29.6703   0.1648    1622
-29.6703   0.3297    1622
-29.6703   0.4945    1622
-29.6703   0.6593    1622
-29.6703   0.8242    1622
-29.6703   0.9890    1622
-29.6703   1.1538    1622
-29.6703   1.3187    1622
-29.6703   1.4835    1622
-29.6703   1.6484    1622
-29.6703   1.8132    1622
-29.6703   1.9780    1622
-29.6703   2.1429    1622
-29.6703   2.3077    1622
-29.6703   2.4725    1622
-29.6703   2.6374    1622
-29.6703   2.8022    1622
-29.6703   2.9670    1622
-29.6703   3.1319    1622
-29.6703   3.2967    1622
-29.6703   3.4615    1622
-29.6703   3.6264    1622
-29.6703   3.7912    1622
-29.6703   3.9560    1622
-29.6703   4.1209    1622
-29.6703   4.2857    1622
-29.6703   4.4505    1622
-29.6703   4.6154    1622
-29.6703   4.7802    1622
-29.6703   4.9451    1894
-29.6703   5.1099    1894
-29.6703   5.2747    1894
-29.6703   5.4396    1894
-29.6703   5.6044    1894
-29.6703   5.7692    1894
-29.6703   5.9341    1894
-29.6703   6.0989    1894
-29.6703   6.2637    1894
-29.6703   6.4286    1894
-29.6703   6.5934    1894
-29.6703   6.7582    1894
-29.6703   6.9231    1894
-29.6703   7.0879    1894
-29.6703   7.2527    1894
-29.6703   7.4176    1894
-29.6703   7.5824    1894
-29.6703   7.7473    1894
-29.6703   7.9121    1894
-29.6703   8.0769    1894
-29.6703   8.2418    1894
-29.6703   8.4066    1894
-29.6703   8.5714    1894
-29.6703   8.7363    1894
-29.6703   8.9011    1894
-29.6703   9.0659    1894
-29.6703   9.2308    1894
-29.6703   9.3956    1894
-29.6703   9.5604    1894
-29.6703   9.7253    1894
-29.6703   9.8901    1894
-29.6703  10.0549    1894
-29.6703  10.2198    1894
-29.6703  10.3846    1894
-29.6703  10.5495    1894
-29.6703  10.7143    1894
-29.6703  10.8791    1894
-29.6703  11.0440    1947
-29.6703  11.2088    1947
-29.6703  11.3736    1947
-29.6703  11.5385    1947
-29.6703  11.7033    1947
-29.6703  11.8681    1947
-29.6703  12.0330    1947
-29.6703  12.1978    1947
-29.6703  12.3626    1947
-29.6703  12.5275    1947
-29.6703  12.6923    1947
-29.6703  12.8571    1947
-29.6703  13.0220    1947
-29.6703  13.1868    1947
-29.6703  13.3516    1947
-29.6703  13.5165    1947
-29.6703  13.6813    1947
-29.6703  13.8462    1947
-29.6703  14.0110    1947
-29.6703  14.1758    1947
-29.6703  14.3407    1947
-29.6703  14.5055    1947
-29.6703  14.6703    1947
-29.6703  14.8352    1947
-29.6703  15.0000    1947
-29.6703  15.1648    1947
-29.6703  15.3297    1947
-29.6703  15.4945    1947
-29.6703  15.6593    1947
-29.6703  15.8242    1947
-29.6703  15.9890    1947
-29.6703  16.1538    1947
-29.6703  16.3187    1947
-29.6703  16.4835    1947
-29.6703  16.6484    1947
-29.6703  16.8132    1947
-29.6703  16.9780    1947
-29.6703  17.1429    1947
-29.6703  17.3077    1947
-29.6703  17.4725    1947
-29.6703  17.6374    1947
-29.6703  17.8022    1947
-29.6703  17.9670    1947
-29.6703  18.1319    1947
-29.6703  18.2967    1947
-29.6703  18.4615    1947
-29.6703  18.6264    1947
-29.6703  18.7912    1947
-29.6703  18.9560    1947
-29.6703  19.1209    1947
-29.6703  19.2857    1947
-29.6703  19.4505    1947
-29.6703  19.6154    1947
-29.6703  19.7802    1947
-29.6703  19.9451    1947
-29.6703  20.1099    1947
-29.6703  20.2747    1947
-29.6703  20.4396    1947
-29.6703  20.6044    1947
-29.6703  20.7692    1947
-29.6703  20.9341    1947
-29.6703  21.0989    1947
-29.6703  21.2637    1947
-29.6703  21.4286    1947
-29.6703  21.5934    1947
-29.6703  21.7582    1947
-29.6703  21.9231    1947
-29.6703  22.0879    1947
-29.6703  22.2527    1947
-29.6703  22.4176    1648
-29.6703  22.5824    1648
-29.6703  22.7473    1648
-29.6703  22.9121    1648
-29.6703  23.0769    1648
-29.6703  23.2418    1648
-29.6703  23.4066    1648
-29.6703  23.5714    1648
-29.6703  23.7363    1648
-29.6703  23.9011    1648
-29.6703  24.0659    1648
-29.6703  24.2308    1648
-29.6703  24.3956    1648
-29.6703  24.5604    1648
-29.6703  24.7253    1648
-29.6703  24.8901    1648
-29.6703  25.0549    1648
-29.6703  25.2198    1648
-29.6703  25.3846    1648
-29.6703  25.5495    1648
-29.6703  25.7143    1648
-29.6703  25.8791    1648
-29.6703  26.0440    1648
-29.6703  26.2088    1648
-29.6703  26.3736    1648
-29.6703  26.5385    1648
-29.6703  26.7033    1648
-29.6703  26.8681    1648
-29.6703  27.0330    1648
-29.6703  27.1978    1648
-29.6703  27.3626    1648
-29.6703  27.5275    1648
-29.6703  27.6923    1648
-29.6703  27.8571    1648
-29.6703  28.0220    1648
-29.6703  28.1868    1648
-29.6703  28.3516    1648
-29.6703  28.5165    1648
-29.6703  28.6813    1648
-29.6703  28.8462    1648
-29.6703  29.0110    1648
-29.6703  29.1758    1648
-29.6703  29.3407    1648
-29.6703  29.5055    1648
-29.6703  29.6703    1648
-29.6703  29.8352    1648
-29.6703  30.0000    1648
-29.5055 -30.0000     779
-29.5055 -29.8352     779
-29.5055 -29.6703     779
-29.5055 -29.5055     746
-29.5055 -29.3407     746
-29.5055 -29.1758     746
-29.5055 -29.0110     746
-29.5055 -28.8462     746
-29.5055 -28.6813     746
-29.5055 -28.5165     746
-29.5055 -28.3516     746
-29.5055 -28.1868     746
-29.5055 -28.0220     746
-29.5055 -27.8571     746
-29.5055 -27.6923     746
-29.5055 -27.5275     746
-29.5055 -27.3626     746
-29.5055 -27.1978     746
-29.5055 -27.0330     746
-29.5055 -26.8681     746
-29.5055 -26.7033     746
-29.5055 -26.5385     746
-29.5055 -26.3736     746
-29.5055 -26.2088     746
-29.5055 -26.0440     746
-29.5055 -25.8791     746
-29.5055 -25.7143     746
-29.5055 -25.5495     746
-29.5055 -25.3846     746
-29.5055 -25.2198     746
-29.5055 -25.0549     746
-29.5055 -24.8901     746
-29.5055 -24.7253     746
-29.5055 -24.5604     746
-29.5055 -24.3956     746
-29.5055 -24.2308     746
-29.5055 -24.0659     746
-29.5055 -23.9011     746
-29.5055 -23.7363     746
-29.5055 -23.5714     746
-29.5055 -23.4066     746
-29.5055 -23.2418     746
-29.5055 -23.0769     746
-29.5055 -22.9121     746
-29.5055 -22.7473     746
-29.5055 -22.5824     746
-29.5055 -22.4176     746
-29.5055 -22.2527     746
-29.5055 -22.0879     746
-29.5055 -21.9231     746
-29.5055 -21.7582     746
-29.5055 -21.5934     746
-29.5055 -21.4286     746
-29.5055 -21.2637     746
-29.5055 -21.0989     746
-29.5055 -20.9341     746
-29.5055 -20.7692     746
-29.5055 -20.6044     746
-29.5055 -20.4396     746
-29.5055 -20.2747     746
-29.5055 -20.1099     746
-29.5055 -19.9451     746
-29.5055 -19.7802     746
-29.5055 -19.6154     746
-29.5055 -19.4505     746
-29.5055 -19.2857     746
-29.5055 -19.1209    1390
-29.5055 -18.9560    1390
-29.5055 -18.7912    1390
-29.5055 -18.6264    1390
-29.5055 -18.4615    1390
-29.5055 -18.2967    1390
-29.5055 -18.1319    1390
-29.5055 -17.9670    1390
-29.5055 -17.8022    1390
-29.5055 -17.6374    1390
-29.5055 -17.4725    1390
-29.5055 -17.3077    1390
-29.5055 -17.1429    1390
-29.5055 -16.9780    1390
-29.5055 -16.8132    1390
-29.5055 -16.6484    1390
-29.5055 -16.4835    1390
-29.5055 -16.3187    1390
-29.5055 -16.1538    1390
-29.5055 -15.9890    1390
-29.5055 -15.8242    1390
-29.5055 -15.6593    1390
-29.5055 -15.4945    1390
-29.5055 -15.3297    1390
-29.5055 -15.1648    1390
-29.5055 -15.0000    1390
-29.5055 -14.8352    1390
-29.5055 -14.6703    1390
-29.5055 -14.5055    1390
-29.5055 -14.3407    1390
-29.5055 -14.1758    1390
-29.5055 -14.0110    1390
-29.5055 -13.8462    1390
-29.5055 -13.6813    1390
-29.5055 -13.5165    1390
-29.5055 -13.3516    1390
-29.5055 -13.1868    1390
-29.5055 -13.0220    1390
-29.5055 -12.8571    1390
-29.5055 -12.6923    1390
-29.5055 -12.5275    1390
-29.5055 -12.3626    1390
-29.5055 -12.1978    1390
-29.5055 -12.0330    1390
-29.5055 -11.8681    1390
-29.5055 -11.7033    1390
-29.5055 -11.5385    1390
-29.5055 -11.3736    1390
-29.5055 -11.2088    1441
-29.5055 -11.0440    1441
-29.5055 -10.8791    1441
-29.5055 -10.7143    1441
-29.5055 -10.5495    1441
-29.5055 -10.3846    1441
-29.5055 -10.2198    1441
-29.5055 -10.0549    1441
-29.5055  -9.8901    1441
-29.5055  -9.7253    1441
-29.5055  -9.5604    1441
-29.5055  -9.3956    1441
-29.5055  -9.2308    1441
-29.5055  -9.0659    1441
-29.5055  -8.9011    1441
-29.5055  -8.7363    1441
-29.5055  -8.5714    1441
-29.5055  -8.4066    1441
-29.5055  -8.2418    1441
-29.5055  -8.0769    1441
-29.5055  -7.9121    1441
-29.5055  -7.7473    1441
-29.5055  -7.5824    1441
-29.5055  -7.4176    1441
-29.5055  -7.2527    1441
-29.5055  -7.0879    1441
-29.5055  -6.9231    1441
-29.5055  -6.7582    1441
-29.5055  -6.5934    1441
-29.5055  -6.4286    1441
-29.5055  -6.2637    1441
-29.5055  -6.0989    1441
-29.5055  -5.9341    1441
-29.5055  -5.7692    1441
-29.5055  -5.6044    1441
-29.5055  -5.4396    1441
-29.5055  -5.2747    1441
-29.5055  -5.1099    1441
-29.5055  -4.9451    1441
-29.5055  -4.7802    1441
-29.5055  -4.6154    1441
-29.5055  -4.4505    1441
-29.5055  -4.2857    1441
-29.5055  -4.1209    1441
-29.5055  -3.9560    1441
-29.5055  -3.7912    1441
-29.5055  -3.6264    1441
-29.5055  -3.4615    1441
-29.5055  -3.2967    1441
-29.5055  -3.1319    1441
-29.5055  -2.9670    1441
-29.5055  -2.8022    1441
-29.5055  -2.6374    1441
-29.5055  -2.4725    1441
-29.5055  -2.3077    1441
-29.5055  -2.1429    1441
-29.5055  -1.9780    1441
-29.5055  -1.8132    1441
-29.5055  -1.6484    1441
-29.5055  -1.4835    1441
-29.5055  -1.3187    1441
-29.5055  -1.1538    1441
-29.5055  -0.9890    1622
-29.5055  -0.8242    1622
-29.5055  -0.6593    1622
-29.5055  -0.4945    1622
-29.5055  -0.3297    1622
-29.5055  -0.1648    1622
-29.5055   0.0000    1622
-29.5055   0.1648    1622
-29.5055   0.3297    1622
-29.5055   0.4945    1622
-29.5055   0.6593    1622
-29.5055   0.8242    1622
-29.5055   0.9890    1622
-29.5055   1.1538    1622
-29.5055   1.3187    1622
-29.5055   1.4835    1622
-29.5055   1.6484    1622
-29.5055   1.8132    1622
-29.5055   1.9780    1622
-29.5055   2.1429    1622
-29.5055   2.3077    1622
-29.5055   2.4725    1622
-29.5055   2.6374    1622
-29.5055   2.8022    1622
-29.5055   2.9670    1622
-29.5055   3.1319    1622
-29.5055   3.2967    1622
-29.5055   3.4615    1622
-29.5055   3.6264    1622
-29.5055   3.7912    1622
-29.5055   3.9560    1622
-29.5055   4.1209    1622
