# Binning scheme file
# X_pix  Y_pix  binid
-23.0000  -9.0000     728
-23.0000  -8.0000     728
-23.0000  -7.0000     728
-23.0000  -4.0000     289
-23.0000  -3.0000     289
-23.0000  -2.0000     289
-23.0000   2.0000     296
-22.0000 -10.0000     727
-22.0000  -9.0000     728
-22.0000  -8.0000     728
-22.0000  -7.0000     669
-22.0000  -6.0000     669
-22.0000  -5.0000     669
-22.0000  -4.0000     289
-22.0000  -3.0000     289
-22.0000  -2.0000     289
-22.0000  -1.0000     289
-22.0000   0.0000     296
-22.0000   1.0000     296
-22.0000   2.0000     296
-22.0000   3.0000     296
-22.0000   4.0000     296
-22.0000   5.0000     290
-22.0000   6.0000     290
-22.0000   7.0000     290
-22.0000   8.0000     290
-22.0000  11.0000     292
-22.0000  12.0000     292
-22.0000  13.0000     292
-21.0000 -12.0000     735
-21.0000 -11.0000     727
-21.0000 -10.0000     727
-21.0000  -9.0000     728
-21.0000  -8.0000     728
-21.0000  -7.0000     669
-21.0000  -6.0000     669
-21.0000  -5.0000     295
-21.0000  -4.0000     295
-21.0000  -3.0000     289
-21.0000  -2.0000     289
-21.0000  -1.0000     289
-21.0000   0.0000     288
-21.0000   1.0000     296
-21.0000   2.0000     296
-21.0000   3.0000     296
-21.0000   4.0000     282
-21.0000   5.0000     290
-21.0000   6.0000     290
-21.0000   7.0000     290
-21.0000   8.0000     290
-21.0000   9.0000     292
-21.0000  10.0000     292
-21.0000  11.0000     292
-21.0000  12.0000     292
-21.0000  13.0000     292
-21.0000  14.0000     292
-20.0000 -13.0000     735
-20.0000 -12.0000     735
-20.0000 -11.0000     727
-20.0000 -10.0000     727
-20.0000  -9.0000     673
-20.0000  -8.0000     673
-20.0000  -7.0000     669
-20.0000  -6.0000     669
-20.0000  -5.0000     295
-20.0000  -4.0000     295
-20.0000  -3.0000     295
-20.0000  -2.0000     289
-20.0000  -1.0000     288
-20.0000   0.0000     288
-20.0000   1.0000     276
-20.0000   2.0000     276
-20.0000   3.0000     282
-20.0000   4.0000     282
-20.0000   5.0000     290
-20.0000   6.0000     290
-20.0000   7.0000     290
-20.0000   8.0000     290
-20.0000   9.0000     292
-20.0000  10.0000     292
-20.0000  11.0000     292
-20.0000  12.0000     292
-20.0000  13.0000     292
-20.0000  14.0000     292
-19.0000 -13.0000     735
-19.0000 -12.0000     700
-19.0000 -11.0000     679
-19.0000 -10.0000     679
-19.0000  -9.0000     673
-19.0000  -8.0000     673
-19.0000  -7.0000     306
-19.0000  -6.0000     298
-19.0000  -5.0000     298
-19.0000  -4.0000     272
-19.0000  -3.0000     272
-19.0000  -2.0000     272
-19.0000  -1.0000     288
-19.0000   0.0000     288
-19.0000   1.0000     276
-19.0000   2.0000     276
-19.0000   3.0000     282
-19.0000   4.0000     282
-19.0000   5.0000     282
-19.0000   6.0000     290
-19.0000   7.0000     290
-19.0000   8.0000     290
-19.0000   9.0000     292
-19.0000  10.0000     292
-19.0000  11.0000     292
-19.0000  12.0000     292
-19.0000  13.0000     292
-19.0000  14.0000     292
-19.0000  15.0000     314
-18.0000 -13.0000     700
-18.0000 -12.0000     700
-18.0000 -11.0000     679
-18.0000 -10.0000     679
-18.0000  -9.0000     603
-18.0000  -8.0000     308
-18.0000  -7.0000     306
-18.0000  -6.0000     298
-18.0000  -5.0000     266
-18.0000  -4.0000     258
-18.0000  -3.0000     272
-18.0000  -2.0000     254
-18.0000  -1.0000     254
-18.0000   0.0000     257
-18.0000   1.0000     257
-18.0000   2.0000     276
-18.0000   3.0000     255
-18.0000   4.0000     282
-18.0000   5.0000     262
-18.0000   6.0000     262
-18.0000   7.0000     271
-18.0000   8.0000     271
-18.0000   9.0000     292
-18.0000  10.0000     292
-18.0000  11.0000     292
-18.0000  12.0000     292
-18.0000  13.0000     292
-18.0000  14.0000     314
-17.0000 -15.0000     699
-17.0000 -14.0000     699
-17.0000 -13.0000     678
-17.0000 -12.0000     678
-17.0000 -11.0000     668
-17.0000 -10.0000     604
-17.0000  -9.0000     603
-17.0000  -8.0000     308
-17.0000  -7.0000     297
-17.0000  -6.0000     256
-17.0000  -5.0000     266
-17.0000  -4.0000     258
-17.0000  -3.0000     237
-17.0000  -2.0000     235
-17.0000  -1.0000     254
-17.0000   0.0000     239
-17.0000   1.0000     257
-17.0000   2.0000     255
-17.0000   3.0000     255
-17.0000   4.0000     262
-17.0000   5.0000     262
-17.0000   6.0000     271
-17.0000   7.0000     271
-17.0000   8.0000     271
-17.0000   9.0000     292
-17.0000  10.0000     292
-17.0000  11.0000     292
-17.0000  12.0000     292
-17.0000  13.0000     314
-17.0000  14.0000     314
-17.0000  15.0000     314
-17.0000  16.0000     314
-16.0000 -16.0000     699
-16.0000 -15.0000     699
-16.0000 -14.0000     699
-16.0000 -13.0000     678
-16.0000 -12.0000     678
-16.0000 -11.0000     668
-16.0000 -10.0000     604
-16.0000  -9.0000     311
-16.0000  -8.0000     299
-16.0000  -7.0000     269
-16.0000  -6.0000     256
-16.0000  -5.0000     250
-16.0000  -4.0000     240
-16.0000  -3.0000     237
-16.0000  -2.0000     235
-16.0000  -1.0000     215
-16.0000   0.0000     239
-16.0000   1.0000     226
-16.0000   2.0000     234
-16.0000   3.0000     255
-16.0000   4.0000     262
-16.0000   5.0000     262
-16.0000   6.0000     271
-16.0000   7.0000     271
-16.0000   8.0000     271
-16.0000   9.0000     273
-16.0000  10.0000     287
-16.0000  11.0000     287
-16.0000  12.0000     287
-16.0000  13.0000     314
-16.0000  14.0000     314
-16.0000  15.0000     314
-16.0000  16.0000     314
-16.0000  17.0000     314
-15.0000 -16.0000     699
-15.0000 -15.0000     699
-15.0000 -14.0000     674
-15.0000 -13.0000     674
-15.0000 -12.0000     654
-15.0000 -11.0000     595
-15.0000 -10.0000     587
-15.0000  -9.0000     305
-15.0000  -8.0000     267
-15.0000  -7.0000     252
-15.0000  -6.0000     236
-15.0000  -5.0000     220
-15.0000  -4.0000     216
-15.0000  -3.0000     213
-15.0000  -2.0000     212
-15.0000  -1.0000     215
-15.0000   0.0000     204
-15.0000   1.0000     226
-15.0000   2.0000     234
-15.0000   3.0000     227
-15.0000   4.0000     241
-15.0000   5.0000     241
-15.0000   6.0000     271
