# Binning scheme file
# X_pix  Y_pix  binid
-13.0000  -1.0000     105
-12.0000  -1.0000     105
-12.0000   4.0000      95
-11.0000  -5.0000     108
-11.0000  -4.0000     107
-11.0000  -3.0000     107
-11.0000  -2.0000      97
-11.0000  -1.0000     105
-11.0000   0.0000     105
-11.0000   1.0000      90
-11.0000   2.0000      95
-11.0000   3.0000      95
-11.0000   4.0000      95
-11.0000   5.0000      93
-11.0000   6.0000      93
-10.0000  -6.0000     108
-10.0000  -5.0000     108
-10.0000  -4.0000     107
-10.0000  -3.0000     107
-10.0000  -2.0000      97
-10.0000  -1.0000      97
-10.0000   0.0000      91
-10.0000   1.0000      90
-10.0000   2.0000      90
-10.0000   3.0000      95
-10.0000   4.0000      93
-10.0000   5.0000      93
-10.0000   6.0000      93
 -9.0000  -8.0000     118
 -9.0000  -7.0000     118
 -9.0000  -6.0000     108
 -9.0000  -5.0000     108
 -9.0000  -4.0000      99
 -9.0000  -3.0000      99
 -9.0000  -2.0000      87
 -9.0000  -1.0000      81
 -9.0000   0.0000      72
 -9.0000   1.0000      74
 -9.0000   2.0000      80
 -9.0000   3.0000      85
 -9.0000   4.0000      85
 -9.0000   5.0000      92
 -9.0000   6.0000     106
 -9.0000   7.0000     106
 -9.0000   8.0000     106
 -8.0000  -8.0000     118
 -8.0000  -7.0000     118
 -8.0000  -6.0000     110
 -8.0000  -5.0000     110
 -8.0000  -4.0000     100
 -8.0000  -3.0000      83
 -8.0000  -2.0000      68
 -8.0000  -1.0000      61
 -8.0000   0.0000      60
 -8.0000   1.0000      62
 -8.0000   2.0000      66
 -8.0000   3.0000      71
 -8.0000   4.0000      82
 -8.0000   5.0000      92
 -8.0000   6.0000      92
 -8.0000   7.0000     106
 -7.0000  -8.0000     175
 -7.0000  -7.0000     114
 -7.0000  -6.0000     114
 -7.0000  -5.0000     109
 -7.0000  -4.0000      86
 -7.0000  -3.0000      63
 -7.0000  -2.0000      53
 -7.0000  -1.0000      48
 -7.0000   0.0000      46
 -7.0000   1.0000      51
 -7.0000   2.0000      55
 -7.0000   3.0000      64
 -7.0000   4.0000      70
 -7.0000   5.0000      84
 -7.0000   6.0000      98
 -7.0000   7.0000     133
 -7.0000   8.0000     133
 -6.0000  -9.0000     175
 -6.0000  -8.0000     175
 -6.0000  -7.0000     148
 -6.0000  -6.0000     112
 -6.0000  -5.0000     102
 -6.0000  -4.0000      67
 -6.0000  -3.0000      49
 -6.0000  -2.0000      44
 -6.0000  -1.0000      40
 -6.0000   0.0000      38
 -6.0000   1.0000      39
 -6.0000   2.0000      42
 -6.0000   3.0000      54
 -6.0000   4.0000      65
 -6.0000   5.0000      78
 -6.0000   6.0000      94
 -6.0000   7.0000     131
 -6.0000   8.0000     198
 -6.0000   9.0000     198
 -5.0000  -9.0000     170
 -5.0000  -8.0000     147
 -5.0000  -7.0000     147
 -5.0000  -6.0000     113
 -5.0000  -5.0000     101
 -5.0000  -4.0000      52
 -5.0000  -3.0000      43
 -5.0000  -2.0000      34
 -5.0000  -1.0000      29
 -5.0000   0.0000      26
 -5.0000   1.0000      27
 -5.0000   2.0000      31
 -5.0000   3.0000      41
 -5.0000   4.0000      58
 -5.0000   5.0000      73
 -5.0000   6.0000      88
 -5.0000   7.0000     130
 -5.0000   8.0000     196
 -5.0000   9.0000     196
 -5.0000  10.0000     196
 -5.0000  11.0000     258
 -4.0000 -11.0000     213
 -4.0000 -10.0000     170
 -4.0000  -9.0000     170
 -4.0000  -8.0000     170
 -4.0000  -7.0000     149
 -4.0000  -6.0000     117
 -4.0000  -5.0000     103
 -4.0000  -4.0000      47
 -4.0000  -3.0000      36
 -4.0000  -2.0000      28
 -4.0000  -1.0000      22
 -4.0000   0.0000      19
 -4.0000   1.0000      18
 -4.0000   2.0000      21
 -4.0000   3.0000      30
 -4.0000   4.0000      56
 -4.0000   5.0000      69
 -4.0000   6.0000      89
 -4.0000   7.0000     132
 -4.0000   8.0000     194
 -4.0000   9.0000     194
 -4.0000  10.0000     258
 -3.0000 -10.0000     213
 -3.0000  -9.0000     173
 -3.0000  -8.0000     173
 -3.0000  -7.0000     153
 -3.0000  -6.0000     120
 -3.0000  -5.0000     111
 -3.0000  -4.0000      45
 -3.0000  -3.0000      32
 -3.0000  -2.0000      24
 -3.0000  -1.0000      13
 -3.0000   0.0000      10
 -3.0000   1.0000      12
 -3.0000   2.0000      14
 -3.0000   3.0000      20
 -3.0000   4.0000      57
 -3.0000   5.0000      75
 -3.0000   6.0000      96
 -3.0000   7.0000     135
 -3.0000   8.0000     195
 -3.0000   9.0000     195
 -3.0000  10.0000     258
 -2.0000 -11.0000     213
 -2.0000 -10.0000     213
 -2.0000  -9.0000     178
 -2.0000  -8.0000     178
 -2.0000  -7.0000     156
 -2.0000  -6.0000     139
 -2.0000  -5.0000     116
 -2.0000  -4.0000      50
 -2.0000  -3.0000      33
 -2.0000  -2.0000      23
 -2.0000  -1.0000       7
 -2.0000   0.0000       6
 -2.0000   1.0000       8
 -2.0000   2.0000      11
 -2.0000   3.0000      16
 -2.0000   4.0000      59
 -2.0000   5.0000      79
 -2.0000   6.0000     129
 -2.0000   7.0000     145
 -2.0000   8.0000     197
 -2.0000   9.0000     197
 -2.0000  10.0000     257
 -2.0000  11.0000     257
 -1.0000 -11.0000     218
 -1.0000 -10.0000     218
 -1.0000  -9.0000     180
 -1.0000  -8.0000     180
 -1.0000  -7.0000     168
 -1.0000  -6.0000     152
 -1.0000  -5.0000     126
 -1.0000  -4.0000     115
 -1.0000  -3.0000      37
 -1.0000  -2.0000      25
 -1.0000  -1.0000       2
 -1.0000   0.0000       3
 -1.0000   1.0000       4
 -1.0000   2.0000       9
 -1.0000   3.0000      17
 -1.0000   4.0000      76
 -1.0000   5.0000     104
 -1.0000   6.0000     137
 -1.0000   7.0000     169
 -1.0000   8.0000     203
 -1.0000   9.0000     203
 -1.0000  10.0000     257
 -1.0000  11.0000     257
  0.0000 -10.0000     218
  0.0000  -9.0000     205
  0.0000  -8.0000     205
  0.0000  -7.0000     177
  0.0000  -6.0000     158
  0.0000  -5.0000     146
  0.0000  -4.0000     128
  0.0000  -3.0000     119
  0.0000  -2.0000      35
  0.0000  -1.0000       0
  0.0000   0.0000       1
  0.0000   1.0000       5
  0.0000   2.0000      15
  0.0000   3.0000      77
  0.0000   4.0000     124
  0.0000   5.0000     136
  0.0000   6.0000     160
  0.0000   7.0000     193
  0.0000   8.0000     223
  0.0000   9.0000     262
  0.0000  10.0000     262
  0.0000  11.0000     262
  1.0000 -11.0000     236
  1.0000 -10.0000     236
  1.0000  -9.0000     236
  1.0000  -8.0000     216
  1.0000  -7.0000     188
  1.0000  -6.0000     172
  1.0000  -5.0000     157
  1.0000  -4.0000     150
  1.0000  -3.0000     138
  1.0000  -2.0000     127
  1.0000  -1.0000     123
  1.0000   0.0000     121
  1.0000   1.0000     122
  1.0000   2.0000     125
  1.0000   3.0000     134
  1.0000   4.0000     140
  1.0000   5.0000     159
  1.0000   6.0000     184
  1.0000   7.0000     202
  1.0000   8.0000     244
  1.0000   9.0000     265
  1.0000  10.0000     265
  1.0000  11.0000     265
  2.0000  -9.0000     227
  2.0000  -8.0000     227
  2.0000  -7.0000     212
  2.0000  -6.0000     186
  2.0000  -5.0000     174
  2.0000  -4.0000     164
  2.0000  -3.0000     154
  2.0000  -2.0000     151
  2.0000  -1.0000     143
  2.0000   0.0000     141
  2.0000   1.0000     142
  2.0000   2.0000     144
  2.0000   3.0000     155
  2.0000   4.0000     165
  2.0000   5.0000     183
  2.0000   6.0000     200
  2.0000   7.0000     225
  2.0000   8.0000     256
  2.0000   9.0000     264
