# Binning scheme file
# X_pix  Y_pix  binid
-14.0000  -5.0000      72
-14.0000  -4.0000      72
-14.0000  -3.0000      72
-14.0000  -2.0000      72
-14.0000   0.0000      78
-14.0000   1.0000      98
-14.0000   2.0000      98
-14.0000   3.0000      98
-14.0000   6.0000     210
-14.0000   7.0000     210
-13.0000  -7.0000      77
-13.0000  -6.0000      77
-13.0000  -5.0000      77
-13.0000  -4.0000      72
-13.0000  -3.0000      72
-13.0000  -2.0000      72
-13.0000  -1.0000      78
-13.0000   0.0000      78
-13.0000   1.0000      98
-13.0000   2.0000      98
-13.0000   3.0000      98
-13.0000   4.0000     210
-13.0000   5.0000     210
-13.0000   6.0000     210
-13.0000   7.0000     210
-13.0000   8.0000     214
-12.0000  -8.0000      77
-12.0000  -7.0000      77
-12.0000  -6.0000      77
-12.0000  -5.0000      77
-12.0000  -4.0000      72
-12.0000  -3.0000      72
-12.0000  -2.0000      72
-12.0000  -1.0000      78
-12.0000   0.0000      78
-12.0000   1.0000      98
-12.0000   2.0000      98
-12.0000   3.0000      98
-12.0000   4.0000     210
-12.0000   5.0000     210
-12.0000   6.0000     210
-12.0000   7.0000     214
-12.0000   8.0000     214
-12.0000   9.0000     214
-11.0000  -9.0000      69
-11.0000  -8.0000      77
-11.0000  -7.0000      77
-11.0000  -6.0000      77
-11.0000  -5.0000      70
-11.0000  -4.0000      70
-11.0000  -3.0000      72
-11.0000  -2.0000      68
-11.0000  -1.0000      78
-11.0000   0.0000      78
-11.0000   1.0000      79
-11.0000   2.0000     102
-11.0000   3.0000     102
-11.0000   4.0000     122
-11.0000   5.0000     122
-11.0000   6.0000     214
-11.0000   7.0000     214
-11.0000   8.0000     214
-11.0000   9.0000     214
-10.0000  -9.0000      69
-10.0000  -8.0000      69
-10.0000  -7.0000      77
-10.0000  -6.0000      70
-10.0000  -5.0000      70
-10.0000  -4.0000      70
-10.0000  -3.0000      68
-10.0000  -2.0000      68
-10.0000  -1.0000      71
-10.0000   0.0000      75
-10.0000   1.0000      79
-10.0000   2.0000     102
-10.0000   3.0000     102
-10.0000   4.0000     122
-10.0000   5.0000     122
-10.0000   6.0000     122
-10.0000   7.0000     214
-10.0000   8.0000     214
-10.0000   9.0000     214
 -9.0000 -10.0000      69
 -9.0000  -9.0000      69
 -9.0000  -8.0000      69
 -9.0000  -7.0000      58
 -9.0000  -6.0000      58
 -9.0000  -5.0000      56
 -9.0000  -4.0000      56
 -9.0000  -3.0000      54
 -9.0000  -2.0000      68
 -9.0000  -1.0000      71
 -9.0000   0.0000      75
 -9.0000   1.0000      79
 -9.0000   2.0000      82
 -9.0000   3.0000     102
 -9.0000   4.0000     122
 -9.0000   5.0000     122
 -9.0000   6.0000     183
 -9.0000   7.0000     183
 -9.0000   8.0000     213
 -9.0000   9.0000     253
 -9.0000  10.0000     253
 -8.0000 -11.0000      69
 -8.0000 -10.0000      69
 -8.0000  -9.0000      69
 -8.0000  -8.0000      58
 -8.0000  -7.0000      58
 -8.0000  -6.0000      58
 -8.0000  -5.0000      56
 -8.0000  -4.0000      56
 -8.0000  -3.0000      54
 -8.0000  -2.0000      55
 -8.0000  -1.0000      57
 -8.0000   0.0000      73
 -8.0000   1.0000      76
 -8.0000   2.0000      82
 -8.0000   3.0000     103
 -8.0000   4.0000     111
 -8.0000   5.0000     130
 -8.0000   6.0000     183
 -8.0000   7.0000     183
 -8.0000   8.0000     213
 -8.0000   9.0000     253
 -8.0000  10.0000     253
 -8.0000  11.0000     253
 -7.0000 -12.0000      61
 -7.0000 -11.0000      61
 -7.0000 -10.0000      61
 -7.0000  -9.0000      61
 -7.0000  -8.0000      61
 -7.0000  -7.0000      58
 -7.0000  -6.0000      41
 -7.0000  -5.0000      41
 -7.0000  -4.0000      44
 -7.0000  -3.0000      43
 -7.0000  -2.0000      45
 -7.0000  -1.0000      47
 -7.0000   0.0000      52
 -7.0000   1.0000      74
 -7.0000   2.0000      80
 -7.0000   3.0000     100
 -7.0000   4.0000     111
 -7.0000   5.0000     130
 -7.0000   6.0000     183
 -7.0000   7.0000     213
 -7.0000   8.0000     213
 -7.0000   9.0000     253
 -7.0000  10.0000     253
 -7.0000  11.0000     253
 -7.0000  12.0000     253
 -6.0000 -12.0000      61
 -6.0000 -11.0000      61
 -6.0000 -10.0000      61
 -6.0000  -9.0000      61
 -6.0000  -8.0000      61
 -6.0000  -7.0000      42
 -6.0000  -6.0000      42
 -6.0000  -5.0000      41
 -6.0000  -4.0000      37
 -6.0000  -3.0000      32
 -6.0000  -2.0000      33
 -6.0000  -1.0000      38
 -6.0000   0.0000      46
 -6.0000   1.0000      53
 -6.0000   2.0000      81
 -6.0000   3.0000      99
 -6.0000   4.0000     110
 -6.0000   5.0000     128
 -6.0000   6.0000     175
 -6.0000   7.0000     200
 -6.0000   8.0000     200
 -6.0000   9.0000     218
 -6.0000  10.0000     218
 -6.0000  11.0000     218
 -6.0000  12.0000     218
 -5.0000 -12.0000      85
 -5.0000 -11.0000      64
 -5.0000 -10.0000      64
 -5.0000  -9.0000      64
 -5.0000  -8.0000      59
 -5.0000  -7.0000      59
 -5.0000  -6.0000      42
 -5.0000  -5.0000      34
 -5.0000  -4.0000      29
 -5.0000  -3.0000      26
 -5.0000  -2.0000      27
 -5.0000  -1.0000      30
 -5.0000   0.0000      35
 -5.0000   1.0000      50
 -5.0000   2.0000      83
 -5.0000   3.0000     101
 -5.0000   4.0000     112
 -5.0000   5.0000     129
 -5.0000   6.0000     175
 -5.0000   7.0000     200
 -5.0000   8.0000     200
 -5.0000   9.0000     218
 -5.0000  10.0000     218
 -5.0000  11.0000     218
 -5.0000  12.0000     218
 -4.0000 -13.0000      85
 -4.0000 -12.0000      85
 -4.0000 -11.0000      85
 -4.0000 -10.0000      64
 -4.0000  -9.0000      64
 -4.0000  -8.0000      59
 -4.0000  -7.0000      59
 -4.0000  -6.0000      39
 -4.0000  -5.0000      28
 -4.0000  -4.0000      20
 -4.0000  -3.0000      16
