# v        v_err    sigma    sigma_err
   4.356    1.350   80.367    2.461
   4.276    1.496   79.175    2.667
   3.565    1.664   82.996    2.971
   4.168    1.355   80.648    2.459
   2.865    1.507   78.683    2.752
   2.990    1.823   79.260    3.321
   3.288    1.654   79.815    3.010
   3.018    1.942   82.243    3.541
   3.200    2.181   80.860    3.937
   3.378    1.895   83.930    3.306
  -0.896    2.778   80.101    5.082
   1.310    2.540   79.131    4.717
  -1.448    3.767   77.664    7.005
  -0.788    2.425   81.735    4.387
   0.285    4.008   81.327    7.150
   3.497    1.894   78.275    3.490
   5.009    4.685   87.232    7.749
   4.485    3.453   79.106    6.212
  -3.612    3.718   77.895    6.708
  -4.899    3.378   83.714    5.787
   3.309    4.630   81.783    8.088
  -0.536    4.238   75.160    7.907
  -6.312    4.092   80.175    7.356
   0.495    2.918   83.765    5.196
  -2.226    2.939   84.061    5.146
   2.738    2.483   82.564    4.512
 -10.723    4.451   72.100    8.486
  -7.839    5.126   70.086   10.001
  -7.514    5.603   77.020   10.157
 -13.223    5.862   72.244   11.231
   3.017    6.241   74.612   11.320
  -4.706    5.488   67.538   11.087
  -4.940    3.795   83.377    6.693
  -1.452    3.198   86.654    5.462
 -14.680    7.178   68.262   14.425
   3.309    1.776   83.261    3.168
  -9.374    5.193   73.969    9.951
  -0.495    2.987   84.875    5.248
 -16.438    6.554   61.068   14.207
 -14.476    8.893   60.363   18.841
 -19.101    6.855   65.342   14.412
   0.205    7.745   61.667   16.339
 -10.489    8.471   60.994   18.382
 -14.926    7.313   66.512   14.944
 -19.791    7.474   65.069   15.730
 -10.894    6.861   76.678   13.119
 -20.697    8.968   57.422   20.459
 -14.363    8.042   66.838   16.723
 -24.409   10.646   58.175   24.587
 -19.031    8.777   58.214   20.812
  -6.081    5.348   81.475    9.622
 -16.078    8.317   57.119   18.944
 -15.005   10.130   60.539   22.609
 -25.575   11.915   59.822   27.171
  -5.035    9.580   62.746   19.557
 -13.478    9.615   58.008   21.524
   8.591   11.791   73.172   21.679
   9.039    7.064   82.540   12.124
   3.110   11.019   65.641   22.572
   9.657    6.976   83.921   11.700
 -20.946   10.572   49.801   28.187
 -25.829   12.628   48.879   34.959
 -18.262   13.261   52.060   33.382
 -25.288   12.308   60.294   27.666
  -9.263   14.491   61.333   31.109
   0.282   13.743   64.911   27.419
 -13.797   15.277   58.065   34.290
 -17.965   14.164   57.871   32.978
 -26.269   12.925   51.751   34.231
  12.645   13.084   70.423   24.383
  -0.524   26.802   67.693   50.661
 -10.499   16.833   60.634   36.389
 -19.758   12.947   37.034   51.525
   6.575   14.628   72.040   26.948
 -17.067   19.481   44.372   60.410
  15.424   10.189   73.324   18.724
   9.285    9.394   80.832   16.514
   4.967    2.661   78.420    4.867
   4.851   18.881   71.269   34.762
  17.148    9.239   77.434   16.608
 -15.017   22.574   52.452   58.110
 -22.925   12.627   33.671   55.043
  -5.260   28.506   69.074   54.509
 -26.038   16.130   54.605   41.026
   4.372   27.615   70.040   51.537
 -12.176   33.443   68.055   65.277
 -20.458   14.877   53.904   37.919
 -24.442   14.121   42.206   46.951
   9.078   25.493   75.305   44.544
  16.616   18.695   73.708   33.259
 -13.536   24.680   43.993   82.929
 -16.686   17.266   25.705  118.957
   4.027   46.468   75.952   81.091
 -12.306  123.316   78.928  206.414
   4.632   35.567   76.205   60.816
 -13.722   56.790   61.995  122.980
  23.668   18.568   64.246   37.472
 -22.692   22.812   27.865  127.708
   8.853   36.348   74.340   63.992
 -28.151   27.497   52.908   71.049
 -25.161   23.171   56.449   55.465
 -17.867   12.637   57.756   29.541
 -18.780   16.681   51.693   44.757
 -17.733   10.833   61.088   23.591
  15.272   10.062   83.257   17.331
 -17.166   26.769   31.551  138.219
   8.819  103.733   78.740  178.122
 -29.193   35.073   46.013  108.179
 -28.550   31.874   29.911  183.649
 -20.351   18.040   51.326   47.812
 -24.551   25.764   46.003   76.834
 -15.570   13.023   66.809   26.277
 -23.599   20.538   52.919   52.004
 -25.207   19.154   57.988   44.736
 -25.034   37.360   49.316   97.395
  -4.524    4.598   82.492    8.151
 -13.877   10.651   70.495   20.648
 -24.670   17.944   63.717   38.192
 -25.969   37.587   20.747  349.124
