# v        v_err    sigma    sigma_err
 -31.628    1.556  138.559    1.598
 -43.530    1.749  138.528    1.804
 -40.067    1.738  131.844    1.845
 -30.378    1.592  140.751    1.645
 -49.938    1.921  133.371    2.023
 -54.280    1.934  141.653    1.984
 -38.604    1.948  127.791    1.950
 -49.021    2.079  136.137    2.111
 -25.311    1.728  133.106    1.828
 -62.286    1.974  138.151    2.012
 -38.771    2.055  124.570    2.090
 -63.380    2.084  129.485    2.130
 -49.063    2.132  125.898    2.340
 -60.903    1.962  137.185    2.020
 -61.991    2.148  124.198    2.367
 -28.119    1.796  126.892    1.842
 -69.418    2.168  129.117    2.210
 -65.078    2.009  129.392    2.158
 -49.338    2.252  123.536    2.268
 -39.011    2.104  128.457    2.288
 -66.297    2.390  133.242    2.601
 -60.119    2.343  128.007    2.494
 -70.530    1.978  134.422    2.060
 -54.128    1.637  136.535    1.718
 -58.947    1.732  138.159    1.804
 -45.288    1.652  138.013    1.710
 -82.641    2.164  122.898    2.232
 -80.172    2.086  121.656    2.110
 -65.602    2.517  131.688    2.766
 -76.566    2.238  121.629    2.516
 -76.547    2.104  128.756    2.316
 -69.833    1.768  127.910    1.842
 -89.909    2.433  119.689    2.700
 -92.645    2.304  118.413    2.463
 -74.437    2.489  122.542    2.818
 -80.861    2.009  127.021    2.049
 -91.198    2.425  120.064    2.777
 -95.525    2.154  118.825    2.142
 -55.945    2.653  113.240    3.028
 -63.914    2.867  119.711    3.227
 -42.069    2.651  124.725    2.969
 -84.961    2.965  121.343    3.320
 -68.594    2.964  118.565    3.364
 -37.969    2.242  121.316    2.509
 -31.325    1.963  135.525    2.128
 -97.828    2.505  115.509    2.850
 -53.607    2.889  107.916    3.251
-100.737    2.686  122.086    2.997
 -64.237    3.312  125.021    3.674
 -79.253    3.221  121.468    3.502
-102.162    2.272  115.198    2.442
 -46.317    3.001  125.841    3.359
 -95.110    3.360  117.324    3.755
 -68.263    3.517  124.802    3.939
 -90.241    2.323  124.524    2.334
-106.578    2.168  113.012    2.358
 -74.021    1.825  135.190    1.896
 -62.454    1.860  137.244    1.942
 -82.704    1.894  133.601    2.042
 -51.328    1.729  129.580    1.872
-104.935    2.500  102.586    2.867
-104.811    2.692  109.210    3.091
-110.646    2.245   96.843    2.548
 -89.357    3.626  123.328    3.943
-103.791    2.380  122.648    2.563
 -75.479    3.374  119.742    3.807
-103.449    3.379  108.229    3.763
-113.510    2.184  104.933    2.501
 -89.405    1.969  129.528    2.142
-109.668    2.787  115.858    3.036
 -95.807    3.374  104.150    3.756
 -84.377    4.113  122.853    4.509
 -57.163    3.740  123.222    4.025
-104.908    3.064   97.885    3.492
 -66.521    4.004  102.043    4.533
-121.049    2.489  101.846    2.820
-117.092    2.382  107.907    2.648
 -97.417    2.048  116.203    2.145
 -99.188    3.515   94.021    3.923
-124.466    2.373  103.288    2.652
 -67.314    3.905  107.247    4.435
 -56.685    3.500  116.033    3.891
 -87.447    3.894  104.917    4.394
 -32.714    2.573  125.446    2.890
-104.734    3.598  108.298    3.991
 -71.428    3.735   97.417    4.263
 -41.400    3.424  124.405    3.833
 -26.171    2.052  122.320    2.319
-117.228    3.206  114.439    3.512
-122.898    2.865   97.984    3.326
 -64.323    4.112  111.996    4.543
 -55.297    4.405  123.814    4.850
-101.040    3.804   97.190    4.333
 -79.930    4.058  117.489    4.560
-109.876    3.756   95.178    4.337
 -57.752    4.139  103.921    4.722
-123.310    2.629   93.214    3.054
 -49.632    4.028  114.233    4.573
-105.799    3.985  118.031    4.324
 -71.694    4.100  101.197    4.698
-126.251    2.506  103.280    2.884
 -29.874    2.920  116.462    3.267
-112.290    2.216  112.438    2.344
-125.579    2.505   97.471    2.863
 -80.853    1.860  121.659    1.933
 -71.394    1.701  130.227    1.758
 -84.256    1.933  123.788    1.974
 -88.592    4.051  112.442    4.485
 -89.179    4.449  128.134    4.917
-125.463    3.796  100.294    4.230
-124.551    3.398  101.640    3.941
-123.814    3.536   99.778    3.895
 -72.446    4.352  107.912    4.982
-129.095    3.021   88.762    3.546
 -95.565    2.051  121.741    2.116
-122.553    2.611   80.951    2.971
-121.943    2.328  108.372    2.417
-100.790    4.043   91.067    4.558
 -62.726    1.743  130.134    1.874
-134.796    2.560   79.456    3.055
-106.393    2.204  119.548    2.457
 -88.192    4.062   93.778    4.711
-133.347    2.584  102.593    3.005
 -45.250    1.805  138.390    1.949
-132.350    3.757   97.739    4.268
-137.384    3.202   87.858    3.842
-105.161    4.706  128.832    5.205
-134.593    2.724  100.277    3.165
 -75.820    4.343  105.532    4.988
-120.520    2.209  112.490    2.352
-117.801    3.516   83.570    4.048
-140.845    2.974   80.657    3.572
 -61.354    4.586  103.637    5.227
 -56.054    4.414  116.699    4.943
 -62.984    4.403   99.299    5.105
 -31.924    3.729  117.581    3.996
 -53.961    4.508  124.074    5.086
-113.734    4.608  124.884    5.077
 -77.346    4.592   98.804    5.295
 -92.287    4.587   94.912    5.365
 -72.288    4.293   92.549    4.866
 -22.190    2.361  116.093    2.725
-140.070    2.634   69.316    3.220
 -36.242    4.690  126.654    5.301
-110.413    4.126   92.048    4.857
 -82.264    4.816   93.958    5.589
 -86.863    2.097  128.957    2.271
 -21.593    1.898  130.715    2.052
 -78.198    2.014  126.162    2.116
 -95.598    2.091  123.941    2.291
 -23.719    1.790  135.250    1.843
 -19.034    2.114  132.863    2.307
 -55.464    1.738  136.353    1.807
 -35.596    1.568  137.013    1.609
 -70.778    1.840  131.008    1.888
 -22.214    1.552  133.036    1.657
-142.151    2.700   91.935    3.111
-104.094    2.233  116.613    2.261
-122.125    2.326   99.017    2.669
 -61.434    1.856  133.257    1.929
-146.733    2.809   81.511    3.380
-130.500    3.837   86.085    4.514
-138.111    3.374   83.130    4.102
-112.718    2.334  116.920    2.413
-125.672    3.508   74.909    4.254
-143.108    3.289   80.136    4.015
-122.361    3.664   75.569    4.469
 -79.026    5.009  106.378    5.704
-144.594    3.123   87.854    3.691
-131.760    2.453   92.510    2.906
-103.045    4.450   92.712    5.211
-151.397    2.737   83.348    3.120
 -55.730    5.058  121.168    5.663
 -88.489    4.534   89.960    5.244
 -67.790    4.604   94.513    5.345
 -63.346    4.585  119.579    5.132
 -27.642    2.964   97.151    3.390
 -74.428    5.082  108.619    5.676
 -27.093    3.188  132.339    3.587
 -27.910    4.084  118.805    4.401
 -13.306    2.208  124.219    2.473
 -46.744    4.602  121.645    5.140
-117.739    4.155  101.463    4.912
 -94.288    4.818  114.157    5.347
 -22.057    1.498  136.367    1.550
 -29.539    5.103  134.822    5.521
 -16.462    2.456  124.792    2.799
