# v        v_err    sigma    sigma_err
   6.458    1.145  138.832    1.565
   4.432    1.248  136.765    1.730
   0.639    1.450  136.622    1.993
   2.792    1.208  139.222    1.650
   6.203    1.366  139.449    1.855
   9.400    1.334  138.651    1.835
  -2.083    1.674  139.576    2.247
  -3.276    1.645  139.929    2.219
   0.841    2.304  139.132    3.100
  -1.898    1.888  138.320    2.580
  -6.097    2.475  141.590    3.301
  -7.680    1.836  137.318    2.496
  -9.602    2.376  140.724    3.196
  -2.733    3.694  139.588    4.981
 -15.336    2.671  144.817    3.535
   2.291    1.613  138.281    2.212
 -14.906    2.581  140.684    3.465
  -7.268    2.170  138.558    2.936
 -16.174    4.902  151.276    6.369
  -9.657    3.796  146.717    5.000
 -22.497    3.732  146.107    4.925
 -23.512    5.772  153.550    7.454
  -4.583    4.275  142.477    5.578
   5.162    2.737  136.335    3.623
   2.051    3.945  137.441    5.366
   8.691    1.716  134.334    2.321
 -12.041    5.868  154.457    7.318
 -19.086    6.567  161.031    7.992
  -0.377    5.483  138.400    7.238
  -6.705    8.015  149.686   10.492
 -28.670    5.424  154.800    6.929
 -24.481    6.335  161.268    7.671
 -29.850    6.853  146.203    8.494
 -20.032    5.041  142.989    6.719
 -29.678    7.378  161.053    8.933
  -1.803    2.048  136.823    2.805
 -32.206    6.326  154.293    7.739
 -12.614    3.587  138.248    4.858
 -16.433   11.377  165.712   13.540
 -23.109   10.040  167.810   11.877
  -9.749   11.121  159.895   13.536
 -35.359    9.001  160.180   10.994
 -28.449    9.478  167.956   11.255
  -3.127   10.652  140.794   13.964
  -3.774   13.903  154.000   17.822
 -32.486    7.660  147.073    9.723
  -9.156   21.314  172.656   24.848
 -36.964    7.298  151.346    9.110
 -16.993   16.711  173.874   19.507
 -36.102   11.121  167.252   13.245
 -24.521    7.860  142.984    9.925
  -2.414   18.115  164.745   21.624
 -40.753    8.568  157.281   10.657
 -24.174   12.485  176.211   14.477
  -1.520   16.092  142.818   20.955
   0.851   17.923  157.472   22.410
   3.298    9.022  134.608   12.121
   6.683    5.374  135.207    7.202
  -0.748   14.444  135.204   19.340
   9.483    3.616  133.091    4.925
  -3.372   22.081  172.820   24.783
 -11.345   19.472  182.058   21.234
   1.605   25.425  168.672   30.039
 -31.912   12.401  175.419   14.286
   4.207   21.923  147.644   27.688
 -43.319   10.349  165.893   12.478
 -19.105   19.149  180.972   21.350
  -0.328   22.157  139.910   29.385
   7.073   28.244  159.300   34.654
 -40.548   11.373  150.469   14.356
 -40.537   13.254  174.617   16.045
 -29.209   20.338  181.328   24.085
  -0.870   32.399  172.250   37.709
 -45.206   11.282  155.051   14.112
  -9.409   25.238  177.335   28.152
 -34.030    9.955  148.479   12.556
 -16.307    7.072  136.731    9.702
  -5.674    3.960  135.127    5.478
 -46.945   14.015  161.986   17.541
 -25.743   10.079  147.271   12.920
   7.470   30.477  167.110   37.205
 -16.575   22.745  183.352   24.738
  13.311   35.950  153.983   43.301
 -35.927   19.268  180.611   22.035
 -47.332   18.290  167.556   22.457
 -24.015   24.074  184.063   26.304
   7.977   35.993  149.381   45.819
  12.487   35.783  161.282   42.069
 -46.122   17.396  154.114   22.225
 -40.016   21.702  150.004   27.348
 -10.375   33.278  176.863   38.163
   3.804   43.018  168.626   50.667
 -43.178   18.629  174.068   22.568
 -30.654   21.066  183.398   23.624
 -48.799   18.019  156.264   22.851
 -18.556   26.204  181.369   29.407
 -33.534   16.710  147.134   21.884
   9.762   42.187  161.838   50.635
 -50.450   20.242  160.107   25.468
 -24.367   25.477  182.408   29.732
  18.441   39.680  156.156   47.317
 -16.130   12.245  142.618   15.945
  18.493   45.129  155.124   54.465
  16.150   50.245  155.817   60.208
   5.709   18.162  133.008   24.419
   8.467   17.651  130.235   23.897
   5.733   33.432  140.971   43.770
 -36.297   23.304  177.372   26.577
 -28.118   25.150  181.467   29.528
  -8.378   37.765  173.238   42.953
   0.232   43.400  166.243   50.053
 -15.685   42.097  179.210   46.800
 -48.422   18.506  161.444   23.372
  12.148   61.843  147.895   78.983
  12.173   52.607  157.078   62.059
  28.940   56.321  155.957   67.105
  25.330   56.110  151.559   68.589
  12.371   10.104  130.135   13.581
 -19.923   39.360  180.287   42.983
  21.391   60.655  158.371   72.857
  21.348   70.842  148.195   86.402
 -31.793   29.500  177.714   33.508
  37.125   64.554  150.952   79.654
  10.523    3.068  136.637    3.979
 -44.959   21.844  155.926   26.848
 -41.148   23.653  154.571   29.406
 -44.106   22.573  163.840   28.084
 -25.411   18.222  147.744   23.375
 -26.304   28.936  177.109   33.199
  -8.234    8.391  133.581   11.316
 -49.505   20.405  155.216   25.887
 -37.328   27.164  155.910   33.566
  -6.869   54.684  175.933   61.623
   1.824   68.346  165.882   78.906
  -9.652   54.184  179.642   59.800
  31.763   81.921  142.597  105.070
  12.178   64.876  148.818   80.279
 -47.116   20.959  148.442   27.594
 -16.266   47.246  179.156   54.092
 -39.872   30.954  167.576   37.914
 -31.021   29.623  175.226   35.325
  32.291   86.169  157.840  102.855
 -31.880   30.699  157.594   37.746
  26.838   75.319  145.550   93.306
 -45.900   24.117  153.696   31.063
 -23.480   36.402  172.666   43.069
  13.774   41.058  141.575   53.426
   6.572    1.538  136.761    2.121
  16.260   27.391  135.473   36.851
  17.887   60.390  150.131   76.701
   7.340    1.224  135.915    1.696
   3.618    2.153  133.202    2.971
  11.634    6.168  128.409    8.450
  12.000    1.573  137.870    2.076
  15.932   20.998  131.881   28.925
   9.474    1.244  139.435    1.693
  36.669   72.094  139.995   94.975
  24.513   74.974  154.343   91.487
  40.312   90.429  151.319  111.429
  15.238   14.903  128.382   20.677
  33.473   80.949  137.426  106.559
  -1.873   67.995  173.419   76.635
   3.955   86.623  164.395  100.372
  33.068   88.121  155.080  106.650
  14.952   81.874  151.200  100.421
  -7.204   61.614  180.077   67.226
 -37.567   30.884  173.747   36.009
 -14.927   52.501  175.339   61.510
  28.831   87.753  142.543  111.074
  36.742   83.444  140.173  109.291
  36.510   87.470  132.567  119.815
 -29.227   38.249  172.219   46.187
 -37.188   34.910  153.937   43.344
 -41.144   29.529  163.352   35.525
 -42.577   25.066  148.220   32.209
 -30.458   40.889  160.235   49.705
 -14.041   25.051  143.901   32.188
 -42.639   30.608  143.620   39.425
  -8.169   12.530  135.568   16.163
 -21.470   33.735  155.607   41.803
   1.827    4.575  128.662    6.158
 -27.745   38.594  162.661   47.291
 -20.663   46.142  170.953   55.428
 -40.594   35.394  143.884   44.242
  12.158    1.479  138.334    1.963
 -21.598   59.335  169.819   71.168
  -1.850    9.858  127.995   12.978
 -36.680   39.372  172.857   47.217
 -40.433   38.068  168.824   43.959
   3.992   84.695  169.957   96.454
   7.581   83.354  158.813   99.135
  -2.689   93.985  178.124  108.284
  35.470   89.969  130.422  123.976
 -27.876   52.103  167.372   64.544
 -40.584   32.454  152.787   40.970
  -9.606   73.739  171.757   86.800
  17.757   93.372  150.404  114.460
  33.940   95.321  147.470  120.460
 -24.203   45.815  147.841   58.419
 -28.729   39.256  141.283   50.799
 -11.258   33.649  148.218   42.251
 -18.421   50.461  150.582   63.549
 -34.142   39.162  139.502   51.218
  -6.859   21.368  138.590   27.984
 -13.018   66.868  164.754   81.554
 -38.091   48.514  172.476   58.055
 -10.611   55.461  163.695   67.682
 -21.129   52.432  162.904   64.217
 -35.618   50.130  166.145   61.562
 -37.794   50.281  164.964   59.811
 -35.642   38.275  138.782   50.030
  28.707  113.400  139.987  146.588
 -29.072   52.228  157.835   62.372
 -34.767   40.214  143.529   51.568
  -7.575   73.445  165.763   86.894
  -2.050   13.823  133.422   18.123
 -19.527   64.308  138.878   83.925
 -14.156   60.343  140.431   76.487
 -35.133   59.548  169.256   69.443
 -38.793   48.501  164.681   58.943
  -8.541   52.820  155.978   64.879
  -7.320   33.147  144.967   42.254
 -24.539   54.614  132.288   73.376
  -7.586   61.667  142.487   79.372
   7.363   91.433  169.307  108.593
  12.433   98.898  161.081  118.202
 -32.062   47.139  153.348   58.539
  -1.269   78.535  163.811   91.674
 -37.249   49.446  157.543   62.760
 -29.146   49.226  131.863   65.979
  14.057  122.716  153.949  150.130
 -13.655   68.415  148.384   85.069
  37.978   82.103  120.536  117.826
  41.478  105.443  131.934  144.924
  38.976  108.079  123.392  154.054
  16.245  112.607  143.514  139.292
  -5.623   79.455  161.754   96.286
  -2.222   74.941  151.046   93.946
 -37.126   53.727  165.557   64.272
 -31.890   53.911  132.776   72.008
 -28.262   68.079  143.102   87.070
 -28.908   55.950  159.685   67.414
 -40.269   58.597  158.598   72.886
  34.767   96.122  136.447  126.675
  23.921   72.733  150.056   92.150
  25.109   92.648  130.541  123.230
  29.154  102.473  149.877  126.460
  26.078   55.527  145.382   70.672
  18.285   96.072  157.593  114.364
  22.140  106.538  153.435  129.826
 -35.414   57.286  146.349   72.613
   8.959   86.030  154.242  103.799
