# Binning scheme file
# X_pix  Y_pix  binid
-16.0000  -4.0000     240
-16.0000   1.0000     523
-16.0000   6.0000     693
-15.0000  -8.0000     239
-15.0000  -7.0000     239
-15.0000  -6.0000     207
-15.0000  -5.0000     193
-15.0000  -4.0000     188
-15.0000  -3.0000     188
-15.0000  -2.0000     189
-15.0000  -1.0000     189
-15.0000   0.0000     189
-15.0000   1.0000     208
-15.0000   2.0000     306
-15.0000   3.0000     306
-15.0000   4.0000     521
-15.0000   6.0000     525
-15.0000   7.0000     525
-15.0000   8.0000     525
-14.0000  -9.0000     215
-14.0000  -8.0000     215
-14.0000  -7.0000     191
-14.0000  -6.0000     178
-14.0000  -5.0000     168
-14.0000  -4.0000     165
-14.0000  -3.0000     161
-14.0000  -2.0000     162
-14.0000  -1.0000     164
-14.0000   0.0000     167
-14.0000   1.0000     190
-14.0000   2.0000     204
-14.0000   3.0000     273
-14.0000   4.0000     311
-14.0000   5.0000     438
-14.0000   6.0000     525
-14.0000   7.0000     525
-14.0000   8.0000     588
-14.0000   9.0000     588
-13.0000  -9.0000     214
-13.0000  -8.0000     171
-13.0000  -7.0000     171
-13.0000  -6.0000     145
-13.0000  -5.0000     138
-13.0000  -4.0000     134
-13.0000  -3.0000     132
-13.0000  -2.0000     133
-13.0000  -1.0000     136
-13.0000   0.0000     143
-13.0000   1.0000     160
-13.0000   2.0000     170
-13.0000   3.0000     201
-13.0000   4.0000     272
-13.0000   5.0000     310
-13.0000   6.0000     408
-13.0000   7.0000     519
-13.0000   8.0000     588
-13.0000   9.0000     588
-13.0000  10.0000     588
-12.0000 -11.0000     230
-12.0000 -10.0000     230
-12.0000  -9.0000     184
-12.0000  -8.0000     169
-12.0000  -7.0000     140
-12.0000  -6.0000     128
-12.0000  -5.0000     118
-12.0000  -4.0000     111
-12.0000  -3.0000     109
-12.0000  -2.0000     110
-12.0000  -1.0000     114
-12.0000   0.0000     120
-12.0000   1.0000     135
-12.0000   2.0000     156
-12.0000   3.0000     166
-12.0000   4.0000     205
-12.0000   5.0000     277
-12.0000   6.0000     313
-12.0000   7.0000     410
-12.0000   8.0000     518
-12.0000   9.0000     518
-12.0000  10.0000     589
-11.0000 -10.0000     194
-11.0000  -9.0000     173
-11.0000  -8.0000     139
-11.0000  -7.0000     121
-11.0000  -6.0000     108
-11.0000  -5.0000      99
-11.0000  -4.0000      95
-11.0000  -3.0000      90
-11.0000  -2.0000      91
-11.0000  -1.0000      97
-11.0000   0.0000     103
-11.0000   1.0000     116
-11.0000   2.0000     122
-11.0000   3.0000     158
-11.0000   4.0000     192
-11.0000   5.0000     209
-11.0000   6.0000     305
-11.0000   7.0000     336
-11.0000   8.0000     439
-11.0000   9.0000     522
-11.0000  10.0000     589
-11.0000  11.0000     589
-10.0000 -11.0000     231
-10.0000 -10.0000     183
-10.0000  -9.0000     144
-10.0000  -8.0000     126
-10.0000  -7.0000     107
-10.0000  -6.0000      93
-10.0000  -5.0000      87
-10.0000  -4.0000      81
-10.0000  -3.0000      74
-10.0000  -2.0000      72
-10.0000  -1.0000      80
-10.0000   0.0000      85
-10.0000   1.0000     100
-10.0000   2.0000     115
-10.0000   3.0000     141
-10.0000   4.0000     163
-10.0000   5.0000     206
-10.0000   6.0000     276
-10.0000   7.0000     312
-10.0000   8.0000     405
-10.0000   9.0000     478
-10.0000  10.0000     535
-10.0000  11.0000     597
 -9.0000 -12.0000     245
 -9.0000 -11.0000     218
 -9.0000 -10.0000     177
 -9.0000  -9.0000     137
 -9.0000  -8.0000     112
 -9.0000  -7.0000      92
 -9.0000  -6.0000      83
 -9.0000  -5.0000      71
 -9.0000  -4.0000      66
 -9.0000  -3.0000      62
 -9.0000  -2.0000      60
 -9.0000  -1.0000      61
 -9.0000   0.0000      68
 -9.0000   1.0000      82
 -9.0000   2.0000     102
 -9.0000   3.0000     119
 -9.0000   4.0000     157
 -9.0000   5.0000     199
 -9.0000   6.0000     270
 -9.0000   7.0000     307
 -9.0000   8.0000     350
 -9.0000   9.0000     435
 -9.0000  10.0000     515
 -9.0000  11.0000     564
 -9.0000  13.0000     686
 -8.0000 -14.0000     365
 -8.0000 -13.0000     365
 -8.0000 -12.0000     243
 -8.0000 -11.0000     212
 -8.0000 -10.0000     174
 -8.0000  -9.0000     130
 -8.0000  -8.0000      98
 -8.0000  -7.0000      86
 -8.0000  -6.0000      70
 -8.0000  -5.0000      64
 -8.0000  -4.0000      53
 -8.0000  -3.0000      48
 -8.0000  -2.0000      46
 -8.0000  -1.0000      51
 -8.0000   0.0000      55
 -8.0000   1.0000      63
 -8.0000   2.0000      84
 -8.0000   3.0000     113
 -8.0000   4.0000     149
 -8.0000   5.0000     196
 -8.0000   6.0000     267
 -8.0000   7.0000     302
 -8.0000   8.0000     335
 -8.0000   9.0000     407
 -8.0000  10.0000     479
 -8.0000  11.0000     534
 -8.0000  12.0000     594
 -7.0000 -13.0000     365
 -7.0000 -12.0000     241
 -7.0000 -11.0000     213
 -7.0000 -10.0000     172
 -7.0000  -9.0000     124
 -7.0000  -8.0000      94
 -7.0000  -7.0000      78
