# Binning scheme file
# X_pix  Y_pix  binid
-18.0000  -8.0000     182
-18.0000  -7.0000     185
-18.0000  -6.0000     185
-18.0000  -5.0000     185
-18.0000  -2.0000     174
-18.0000  -1.0000     174
-18.0000   0.0000     184
-18.0000   3.0000     248
-18.0000   4.0000     248
-18.0000   8.0000     639
-18.0000   9.0000     639
-17.0000 -10.0000     190
-17.0000  -9.0000     190
-17.0000  -8.0000     182
-17.0000  -7.0000     182
-17.0000  -6.0000     185
-17.0000  -5.0000     185
-17.0000  -4.0000     173
-17.0000  -3.0000     173
-17.0000  -2.0000     174
-17.0000  -1.0000     174
-17.0000   0.0000     184
-17.0000   1.0000     184
-17.0000   2.0000     248
-17.0000   3.0000     248
-17.0000   4.0000     248
-17.0000   5.0000     635
-17.0000   6.0000     635
-17.0000   7.0000     635
-17.0000   8.0000     639
-17.0000   9.0000     639
-17.0000  10.0000     639
-17.0000  11.0000     639
-16.0000 -11.0000     190
-16.0000 -10.0000     190
-16.0000  -9.0000     190
-16.0000  -8.0000     182
-16.0000  -7.0000     182
-16.0000  -6.0000     161
-16.0000  -5.0000     161
-16.0000  -4.0000     173
-16.0000  -3.0000     173
-16.0000  -2.0000     174
-16.0000  -1.0000     174
-16.0000   0.0000     184
-16.0000   1.0000     184
-16.0000   2.0000     248
-16.0000   3.0000     248
-16.0000   4.0000     272
-16.0000   5.0000     272
-16.0000   6.0000     635
-16.0000   7.0000     635
-16.0000   8.0000     639
-16.0000   9.0000     639
-16.0000  10.0000     639
-16.0000  11.0000     639
-15.0000 -12.0000     186
-15.0000 -11.0000     186
-15.0000 -10.0000     190
-15.0000  -9.0000     171
-15.0000  -8.0000     171
-15.0000  -7.0000     159
-15.0000  -6.0000     155
-15.0000  -5.0000     161
-15.0000  -4.0000     145
-15.0000  -3.0000     144
-15.0000  -2.0000     146
-15.0000  -1.0000     149
-15.0000   0.0000     157
-15.0000   1.0000     164
-15.0000   2.0000     175
-15.0000   3.0000     196
-15.0000   4.0000     272
-15.0000   5.0000     272
-15.0000   6.0000     473
-15.0000   7.0000     473
-15.0000   8.0000     483
-15.0000   9.0000     639
-15.0000  10.0000     621
-15.0000  11.0000     621
-14.0000 -12.0000     186
-14.0000 -11.0000     186
-14.0000 -10.0000     172
-14.0000  -9.0000     172
-14.0000  -8.0000     171
-14.0000  -7.0000     159
-14.0000  -6.0000     155
-14.0000  -5.0000     135
-14.0000  -4.0000     145
-14.0000  -3.0000     144
-14.0000  -2.0000     146
-14.0000  -1.0000     149
-14.0000   0.0000     157
-14.0000   1.0000     164
-14.0000   2.0000     175
-14.0000   3.0000     196
-14.0000   4.0000     240
-14.0000   5.0000     255
-14.0000   6.0000     307
-14.0000   7.0000     473
-14.0000   8.0000     483
-14.0000   9.0000     483
-14.0000  10.0000     621
-14.0000  11.0000     621
-13.0000 -11.0000     177
-13.0000 -10.0000     172
-13.0000  -9.0000     172
-13.0000  -8.0000     147
-13.0000  -7.0000     137
-13.0000  -6.0000     126
-13.0000  -5.0000     135
-13.0000  -4.0000     129
-13.0000  -3.0000     124
-13.0000  -2.0000     125
-13.0000  -1.0000     130
-13.0000   0.0000     136
-13.0000   1.0000     150
-13.0000   2.0000     162
-13.0000   3.0000     176
-13.0000   4.0000     240
-13.0000   5.0000     255
-13.0000   6.0000     307
-13.0000   7.0000     355
-13.0000   8.0000     483
-13.0000   9.0000     483
-13.0000  10.0000     621
-13.0000  11.0000     621
-13.0000  12.0000     627
-13.0000  13.0000     627
-12.0000 -13.0000     181
-12.0000 -12.0000     181
-12.0000 -11.0000     177
-12.0000 -10.0000     177
-12.0000  -9.0000     152
-12.0000  -8.0000     147
-12.0000  -7.0000     137
-12.0000  -6.0000     126
-12.0000  -5.0000     117
-12.0000  -4.0000     111
-12.0000  -3.0000     109
-12.0000  -2.0000     110
-12.0000  -1.0000     114
-12.0000   0.0000     120
-12.0000   1.0000     128
-12.0000   2.0000     148
-12.0000   3.0000     167
-12.0000   4.0000     197
-12.0000   5.0000     250
-12.0000   6.0000     273
-12.0000   7.0000     355
-12.0000   8.0000     406
-12.0000   9.0000     472
-12.0000  10.0000     472
-12.0000  11.0000     627
-12.0000  12.0000     627
-12.0000  13.0000     627
-11.0000 -14.0000     181
-11.0000 -13.0000     181
-11.0000 -12.0000     181
-11.0000 -11.0000     158
-11.0000 -10.0000     158
-11.0000  -9.0000     152
-11.0000  -8.0000     139
-11.0000  -7.0000     122
-11.0000  -6.0000     108
-11.0000  -5.0000      98
-11.0000  -4.0000      94
-11.0000  -3.0000      88
-11.0000  -2.0000      89
-11.0000  -1.0000      97
-11.0000   0.0000     103
-11.0000   1.0000     115
-11.0000   2.0000     123
-11.0000   3.0000     151
-11.0000   4.0000     170
-11.0000   5.0000     244
-11.0000   6.0000     269
-11.0000   7.0000     311
-11.0000   8.0000     406
-11.0000   9.0000     472
-11.0000  10.0000     493
-11.0000  11.0000     493
-11.0000  12.0000     627
-11.0000  13.0000     627
-11.0000  14.0000     625
-10.0000 -14.0000     187
-10.0000 -13.0000     187
-10.0000 -12.0000     178
-10.0000 -11.0000     178
-10.0000 -10.0000     158
-10.0000  -9.0000     138
-10.0000  -8.0000     127
-10.0000  -7.0000     107
-10.0000  -6.0000      93
-10.0000  -5.0000      84
-10.0000  -4.0000      78
-10.0000  -3.0000      73
-10.0000  -2.0000      69
-10.0000  -1.0000      75
-10.0000   0.0000      79
-10.0000   1.0000     100
-10.0000   2.0000     116
-10.0000   3.0000     131
-10.0000   4.0000     168
-10.0000   5.0000     239
-10.0000   6.0000     257
-10.0000   7.0000     304
-10.0000   8.0000     362
-10.0000   9.0000     429
-10.0000  10.0000     493
-10.0000  11.0000     583
-10.0000  12.0000     583
-10.0000  13.0000     625
-10.0000  14.0000     625
 -9.0000 -14.0000     187
 -9.0000 -13.0000     187
 -9.0000 -12.0000     178
